Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\dap.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 73)
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\densenet\utils\._dataset.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\densenet\utils\._metrics.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._create_classes_list.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._detection2accuracy.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._filter_annotations.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._merge_annotations.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._trainer.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._utils.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\._visualize_evaluation.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\faster-rcnn\utils\.___init__.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\WhenPigsFlyContext\human\expGravity\custom.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 61)
